0.000000000000000000e+00 1.137797573072678942e-07 -2.012422378336486976e-07 2.948265781442810790e-07 -3.805585105160028986e-07 4.625341425608836614e-07 -5.248641528072011463e-07 5.290915688401305338e-07
1.001001001001000992e-02 2.282325491884863852e-07 -4.036456727132469137e-07 5.913155222681843282e-07 -7.632206292420255097e-07 9.275823135514728949e-07 -1.052540474816655116e-06 1.060986011632005437e-06
2.002002002002001985e-02 3.440255972213893788e-07 -6.083608802896570432e-07 8.911131963657974680e-07 -1.150068840341893257e-06 1.397632400594214550e-06 -1.585811034816206377e-06 1.598455520455096439e-06
3.003003003003002977e-02 4.618241521928728585e-07 -8.165342751351151649e-07 1.195858991981972981e-06 -1.543175697219369185e-06 1.875159295653771899e-06 -2.127442287755947188e-06 2.144255875286618668e-06
4.004004004004003969e-02 5.822952116665750247e-07 -1.029314352331735168e-06 1.507194039956690917e-06 -1.944614608821639780e-06 2.362637549081368726e-06 -2.680199007633917422e-06 2.701140158585122786e-06
5.005005005005004615e-02 7.061111354596212024e-07 -1.247857747498073887e-06 1.826769655399687701e-06 -2.356470281264980590e-06 2.862553604817069756e-06 -3.246857745505273494e-06 3.271871991700171097e-06
6.006006006006005954e-02 8.339531800495402780e-07 -1.473335149825018629e-06 2.156255563255196904e-06 -2.780848872511291488e-06 3.377417683604351586e-06 -3.830219885437378388e-06 3.859238364194690603e-06
7.007007007007007293e-02 9.665149715646689788e-07 -1.706937100357133680e-06 2.497347948509449316e-06 -3.219887913680715873e-06 3.909775376163690668e-06 -4.433124365787348610e-06 4.466062121773963254e-06
8.008008008008007939e-02 1.104505935786924108e-06 -1.949879705655186049e-06 2.851777372107213228e-06 -3.675766046832726027e-06 4.462219003816553982e-06 -5.058460128225359186e-06 5.095214173603752802e-06
9.009009009009008584e-02 1.248654702501031646e-06 -2.203410295087367762e-06 3.221316590947008048e-06 -4.150712625647767892e-06 5.037398800003666942e-06 -5.709178352418050296e-06 5.749625475322377516e-06
1.001001001001000923e-01 1.399712500546788508e-06 -2.468813048300106190e-06 3.607788317889306109e-06 -4.647017222358940950e-06 5.638033962461529844e-06 -6.388304530177448761e-06 6.432298839964246151e-06
1.101101101101101126e-01 1.558456559059489300e-06 -2.747414617895807780e-06 4.013072955512392253e-06 -5.167039081486816549e-06 6.266923622471735108e-06 -7.098950429131714250e-06 7.146320625276408285e-06
1.201201201201201191e-01 1.725693529608078792e-06 -3.040589770977247856e-06 4.439116335362927414e-06 -5.713216558391341844e-06 6.926957774545595364e-06 -7.844325992548139436e-06 7.894872342488695068e-06
1.301301301301301394e-01 1.902262943251564044e-06 -3.349767071991320961e-06 4.887937492651437245e-06 -6.288076578346723134e-06 7.621128207120886966e-06 -8.627751218802570996e-06 8.681242228459819745e-06
1.401401401401401459e-01 2.089040715923329675e-06 -3.676434628204194979e-06 5.361636504717158984e-06 -6.894244149744008278e-06 8.352539472300399498e-06 -9.452668061112184657e-06 9.508836820235804302e-06
1.501501501501501523e-01 2.286942715012458284e-06 -4.022145918152790255e-06 5.862402420114183293e-06 -7.534451963110014280e-06 9.124419930327789388e-06 -1.032265238550250297e-05 1.038119256839641731e-05
1.601601601601601588e-01 2.496928399533921681e-06 -4.388525722532042063e-06 6.392521303835189817e-06 -8.211550105879890233e-06 9.940132902351470442e-06 -1.124142602253863356e-05 1.130198752310445876e-05
1.701701701701701652e-01 2.720004545859089270e-06 -4.777276176182752400e-06 6.954384422975168167e-06 -8.928515921255735963e-06 1.080318796305047027e-05 -1.221286894609202102e-05 1.227505312448894406e-05
1.801801801801801717e-01 2.957229070608469962e-06 -5.190182959131095711e-06 7.550496596031650975e-06 -9.688464038007984832e-06 1.171725240286736635e-05 -1.324103161031516576e-05 1.330438612686514157e-05
1.901901901901901781e-01 3.209714961984409313e-06 -5.629121643988743122e-06 8.183484728027320366e-06 -1.049465659671443944e-05 1.268616288789469414e-05 -1.433014747403836072e-05 1.439416068430278069e-05
2.002002002002001846e-01 3.478634330537711178e-06 -6.096064216443717960e-06 8.856106552713631031e-06 -1.135051369666913880e-05 1.371393734387544978e-05 -1.548464573996638068e-05 1.554874062318035912e-05
2.102102102102102188e-01 3.765222590113948762e-06 -6.593085785048598544e-06 9.571259602259519827e-06 -1.225962408651645105e-05 1.480478708929016487e-05 -1.670916433432137748e-05 1.677269192559241546e-05
2.202202202202202252e-01 4.070782779508462393e-06 -7.122371496037277633e-06 1.033199042403714443e-05 -1.322575612056244230e-05 1.596312924109808491e-05 -1.800856315093653912e-05 1.807079544579142709e-05
2.302302302302302317e-01 4.396690035169518543e-06 -7.686223668467445381e-06 1.114150406337756239e-05 -1.425286900167442885e-05 1.719359941536494511e-05 -1.938793758223799897e-05 1.944805988023436420e-05
2.402402402402402382e-01 4.744396225123101856e-06 -8.287069164586872901e-06 1.200317383047468812e-05 -1.534512433068950833e-05 1.850106474373227808e-05 -2.085263235804677814e-05 2.090973501025077220e-05
2.502502502502502724e-01 5.115434754146854173e-06 -8.927467009951568398e-06 1.292055136895735919e-05 -1.650689798130432334e-05 1.989063722545159521e-05 -2.240825571167614426e-05 2.246132523484411941e-05
2.602602602602602788e-01 5.511425550091344044e-06 -9.610116277477471808e-06 1.389737704301940973e-05 -1.774279231850163076e-05 2.136768743351041532e-05 -2.406069389138017957e-05 2.410860340966856550e-05
2.702702702702702853e-01 5.934080241131093036e-06 -1.033786424927911595e-05 1.493759065938907614e-05 -1.905764877767587691e-05 2.293785859220593906e-05 -2.581612603381709873e-05 2.585762500677978685e-05
